scenario,network,iteration,is_warmup,timestamp,handshake_ms,cert_transfer_ms,ttfb_ms,ttlb_ms,server_flight1_bytes,cpu_usr_s,cpu_sys_s,cpu_ms,cpu_pct_time,max_rss_kb
B,ideal,data-019,False,2026-06-28T16:54:41.023476+00:00,3.1576156616210938,1.3151168823242188,4.042625427246094,5.569219589233398,7876,0.010503999999997404,0.0023619999999908714,12.865999999988276,62%,9336
B,ideal,data-020,False,2026-06-28T16:54:45.217767+00:00,3.0930042266845703,1.2934207916259766,3.916025161743164,5.55419921875,7876,0.005878999999993084,0.006678000000007955,12.55700000000104,62%,9276
B,edge_loss0,warmup-01,True,2026-06-28T16:54:50.337094+00:00,103.64961624145508,101.6700267791748,104.98237609863281,106.31895065307617,7876,0.009343999999998687,0.004047999999997387,13.391999999996074,2%,9208
B,edge_loss0,warmup-02,True,2026-06-28T16:54:54.945641+00:00,103.87301445007324,101.66096687316895,105.29327392578125,106.8108081817627,7876,0.00889599999999291,0.005007000000006201,13.90299999999911,2%,9272
B,edge_loss0,warmup-03,True,2026-06-28T16:54:59.548564+00:00,103.73687744140625,101.69506072998047,104.83264923095703,106.18305206298828,7876,0.010090000000019472,0.00288999999999362,12.980000000013092,2%,9256
B,edge_loss0,warmup-04,True,2026-06-28T16:55:04.151821+00:00,103.68943214416504,101.73201560974121,104.89487648010254,106.31179809570312,7876,0.01238299999999981,0.0010410000000007358,13.424000000000547,2%,9272
B,edge_loss0,warmup-05,True,2026-06-28T16:55:08.759663+00:00,103.35326194763184,101.58610343933105,104.20012474060059,105.6971549987793,7876,0.01239599999999541,0.0009749999999968395,13.37099999999225,2%,9264
B,edge_loss0,data-001,False,2026-06-28T16:55:13.360989+00:00,103.65080833435059,101.6685962677002,104.69555854797363,106.15944862365723,7876,0.007789000000002488,0.005856000000008521,13.64500000001101,2%,9188
B,edge_loss0,data-002,False,2026-06-28T16:55:17.964974+00:00,103.63101959228516,101.65929794311523,104.9809455871582,106.36401176452637,7876,0.011464999999986958,0.0021699999999924557,13.634999999979414,2%,9336
B,edge_loss0,data-003,False,2026-06-28T16:55:22.568832+00:00,103.91020774841309,101.69577598571777,105.19003868103027,106.51540756225586,7876,0.007835999999997512,0.005436000000003105,13.272000000000617,2%,9372
B,edge_loss0,data-004,False,2026-06-28T16:55:27.159743+00:00,103.73854637145996,101.58133506774902,105.12161254882812,106.56929016113281,7876,0.010297999999977492,0.0032159999999947786,13.51399999997227,2%,9280
B,edge_loss0,data-005,False,2026-06-28T16:55:31.759142+00:00,103.7747859954834,101.66120529174805,105.06081581115723,106.47749900817871,7876,0.011562999999995327,0.0020719999999982974,13.634999999993624,2%,9364
B,edge_loss0,data-006,False,2026-06-28T16:55:36.371932+00:00,103.73258590698242,101.56083106994629,104.89201545715332,106.25815391540527,7876,0.010125999999985424,0.003495000000000914,13.620999999986338,2%,9220
B,edge_loss0,data-007,False,2026-06-28T16:55:40.975298+00:00,103.6520004272461,101.64952278137207,104.90751266479492,106.35757446289062,7876,0.010714999999976271,0.0026900000000011914,13.404999999977463,2%,9344
B,edge_loss0,data-008,False,2026-06-28T16:55:45.588636+00:00,103.82366180419922,101.67646408081055,105.44395446777344,106.75740242004395,7876,0.009954999999990832,0.0035979999999966594,13.552999999987492,2%,9344
B,edge_loss0,data-009,False,2026-06-28T16:55:50.186813+00:00,103.69491577148438,101.67622566223145,105.00335693359375,106.31275177001953,7876,0.011802999999986241,0.0018269999999915854,13.629999999977827,2%,9176
B,edge_loss0,data-010,False,2026-06-28T16:55:54.791463+00:00,103.65700721740723,101.65882110595703,104.60329055786133,106.22620582580566,7876,0.01065700000000902,0.002792999999996937,13.450000000005957,2%,9444
B,edge_loss0,data-011,False,2026-06-28T16:55:59.405593+00:00,103.81031036376953,101.67050361633301,104.94351387023926,106.59170150756836,7876,0.010551999999989903,0.0030179999999973006,13.569999999987203,2%,9272
B,edge_loss0,data-012,False,2026-06-28T16:56:04.014588+00:00,103.24883460998535,101.60541534423828,104.12287712097168,105.65710067749023,7876,0.011527000000000953,0.001976999999996565,13.503999999997518,2%,9472
B,edge_loss0,data-013,False,2026-06-28T16:56:08.627081+00:00,103.38830947875977,101.55391693115234,104.77232933044434,106.12225532531738,7876,0.008713000000000193,0.004757999999995377,13.47099999999557,2%,9320
B,edge_loss0,data-014,False,2026-06-28T16:56:13.226650+00:00,103.91354560852051,101.64713859558105,105.05223274230957,106.47153854370117,7876,0.009566000000006625,0.0038839999999993324,13.450000000005957,2%,9228
B,edge_loss0,data-015,False,2026-06-28T16:56:17.832023+00:00,103.90567779541016,101.70865058898926,104.8126220703125,106.37521743774414,7876,0.007987000000014177,0.004992999999998915,12.980000000013092,2%,9392
B,edge_loss0,data-016,False,2026-06-28T16:56:22.445318+00:00,103.65605354309082,101.6685962677002,105.03983497619629,106.71520233154297,7876,0.006870999999989635,0.006647999999998433,13.518999999988068,2%,9476
B,edge_loss0,data-017,False,2026-06-28T16:56:27.044159+00:00,103.7743091583252,101.68790817260742,105.0562858581543,106.42647743225098,7876,0.0075960000000065975,0.005534999999994739,13.131000000001336,2%,9328
B,edge_loss0,data-018,False,2026-06-28T16:56:31.648356+00:00,103.63054275512695,101.64165496826172,104.73847389221191,106.16898536682129,7876,0.009523999999998978,0.0042899999999974625,13.81399999999644,2%,9316
B,edge_loss0,data-019,False,2026-06-28T16:56:36.251648+00:00,103.79195213317871,101.68004035949707,105.06796836853027,106.36401176452637,7876,0.009733000000011316,0.00384099999999421,13.574000000005526,2%,9288
B,edge_loss0,data-020,False,2026-06-28T16:56:40.858205+00:00,103.48296165466309,101.7293930053711,104.85291481018066,106.33158683776855,7876,0.0075690000000179225,0.005532000000002313,13.101000000020235,2%,9340
B,edge,warmup-01,True,2026-06-28T16:56:45.969295+00:00,103.75046730041504,101.6988754272461,105.03005981445312,106.39190673828125,7876,0.009598999999980151,0.0038459999999957972,13.444999999975948,2%,9244
B,edge,warmup-02,True,2026-06-28T16:56:50.573992+00:00,103.61933708190918,101.64690017700195,104.69794273376465,106.06074333190918,7876,0.00925200000000359,0.004292999999989888,13.544999999993479,2%,9264
B,edge,warmup-03,True,2026-06-28T16:56:55.184717+00:00,103.71279716491699,101.69863700866699,104.96044158935547,106.34088516235352,7876,0.0060709999999915,0.0069090000000073815,12.979999999998881,2%,9292
